Name,Outlook
Tyler Higbee,"Higbee was the Rams' fourth-round pick last season, and the 6-foot-6, 249-pound Kentucky product is now atop the depth chart following the offseason release of Lance Kendricks. The Rams' quarterback struggles limited Higbee to a 41 percent catch rate as a rookie, but 37 percent of balls thrown his way were off target. Higbee's huge frame is obviously appealing, but he's also a good athlete who can produce with the ball in his hands. He scored eight touchdowns in nine games and caught 78 percent of his targets during his final year at Kentucky. Higbee is a candidate for a second-year leap, but he'll need to fend off rookie Gerald Everett and a big step forward from Jared Goff in order to gain fantasy relevance."
O.J. Howard,"The Buccaneers picked Howard with the No. 19 pick of the draft, making him the first tight end to be selected in the first round of the draft since Eric Ebron (2014). Howard is 22 years old and sports a 6-foot-6, 251-pound frame. The Alabama star dominated the combine, running a 4.51 40-yard dash and posting the quickest times at the position in the three-cone, short shuttle and 60-yard shuttle. Howard underwhelmed statistically while undertargeted during his FBS tenure, but his elite athleticism and ability to contribute as both a receiver and blocker make him the position's top prospect in several years. Tight ends rarely offer much as a rookies, but Howard's terrific blocking ability and the Bucs' need for playmakers makes him a possible exception. He's worth a late-round flier."
Jesse James,"Following the release of Ladarius Green, James is positioned as the Steelers clear No. 1 tight end. The 6-foot-7 Penn State product is unlikely to see big target totals, but he'll see plenty of work near the goal line. He's a sneaky TE2 target."
Jeremy Kerley,"Kerley was on three different rosters last offseason but still managed to see the field on more than three-quarters of the 49ers' offensive snaps. He handled 24 percent of San Francisco's targets, but his role as a short-area target allowed him only three top-30 fantasy weeks. The team's quarterback woes helped Kerley to a 6.0 yards-per-target average (ninth lowest) and 57 percent catch rate, which is extremely low when you consider his 8.3 average depth of target (16th lowest). Kerley couldn't crack the top 50 fantasy receivers playing a massive role and is unlikely to see as much work in Kyle Shanahan's offense. He's worth only a late look in PPR leagues."
Steelers D/ST,"Pittsburgh used to sport one of the league's most-intimidating defenses, but has settled in as a mid-pack unit in recent years. That goes for its D/ST, as well, which has finished a season better than 10th in fantasy points once since 2010. The Steelers allowed the 10th-most points (327) and ranked no better than seventh in any fantasy-relevant category last season. They didn't experience much offseason turnover, but Lawrence Timmons and Jarvis Jones are gone from a pedestrian linebacker group. Stephon Tuitt, Ryan Shazier, Ross Cockrell, Mike Mitchell and Bud Dupree lead a unit without many standouts."
David Njoku,"Njoku was scooped up by Cleveland with the No. 29 overall pick in April's draft. The Miami product has massive upside as a pass-catcher and is only 20 years old. Njoku (6-foot-4, 246 pounds, 35.25-inch arms) is an exceptional athlete, he's fast, and he can line up all over the field. He averaged 11.2 yards after the catch last season. Granted, he's raw and has struggled a bit with drops, but Njoku's youth, athleticism and receiving ability provides him with a massive fantasy ceiling. Of course, considering the Browns' question marks at the quarterback position, we may need to wait a while for Njoku to flourish. He's worth no more than a late-round flier in 2017 leagues."
Austin Seferian-Jenkins,"Offensive coordinator Chan Gailey has retired, which means the days of the Jets trotting out four wide receivers on half of their pass plays are over (the NFL average in this category is 6 percent). Seferian-Jenkins' career has been marred by injury and off-field incidents. He played only 183 snaps and caught 13 passes in 2016. On the plus side, he's a freak athlete and former second-round pick who is only 24 years old and currently the team's top pass-catching option at the position. On the other hand, he's suspended for the first two games this season. The offseason reports on Seferian-Jenkins are overly positive, as he's lost weight and quit drinking - a problem he admitted was holding him down. He's worth a late-round heave in two-tight end leagues."
Brandon LaFell,"The Bengals re-signed LaFell after he was on the field for a whopping 97 percent of the team's pass plays last season. He was targeted 103 times on the year, although he averaged 5.1 per game during the nine games A.J. Green was healthy and 8.1 per game during the seven Green was out. LaFell ended up 33rd at the position in fantasy points and 15th in end zone targets (11). Of course, with Green and Tyler Eifert healthy, speedster John Ross in the mix and Tyler Boyd entering his second year, LaFell is an obvious candidate for a significantly reduced role. The 30-year-old is barely worth late-round consideration in fantasy drafts."
Phillip Dorsett,"Dorsett was a first-round pick in 2015, but the speedster out of Miami has yet to consistently show off his explosiveness at the NFL level. Undersized at 5-foot-10, 185 pounds, Dorsett has already missed six games due to injury and has scored three touchdowns in two years. His 16.0 yards per reception was ninth highest last year, but 3.9 targets per game simply isn't going to cut it. Dorsett is already behind T.Y. Hilton and Donte Moncrief and will now need to fend off Kamar Aiken for No. 3 duties. There's year-three breakout potential, but Dorsett is no more than a late-round flier. Upgrade him in non-PPR."
Chris Ivory,"Ivory's first year with the Jaguars didn't go anywhere close to as planned. Jacksonville signed him to a five-year, $32 million contract following a career year in which he racked up 1,287 yards and 8 touchdowns on 277 touches for the Jets. In 2016, Ivory was limited by various injuries to 11 games. He averaged 3.8 YPC and found the end zone three times. Ivory is now 29 years old, and will be limited to nothing more than the occasional carry or two behind 2017 fourth-overall pick Leonard Fournette. Even if Fournette misses time, Ivory will share snaps with T.J. Yeldon and Corey Grant."
Wendell Smallwood,"Smallwood appeared in 13 games after being selected by Philadelphia in the fifth round of last year's draft. The quick and agile scatback played relatively well on 83 touches while sharing snaps with Ryan Mathews, Darren Sproles and Kenjon Barner. The Eagles did very little to address the running back position during the offseason, which leaves Smallwood as the favorite for early-down duties, with Sproles and Donnel Pumphrey positioned as passing-down and change-of-pace options. Smallwood is a sneaky flex target, especially in non-PPR formats."
Jared Goff,"Goff was the first overall pick in last year's draft, but he sure didn't look the part during the seven games he appeared in as a rookie. The Cal product completed 55 percent of his passes (third lowest), was off target 19.5 percent of the time (eighth worst) and averaged a brutal 5.3 yards per attempt (worst). That doesn't paint a pretty picture, but it's also not a death sentence (Derek Carr posted similar numbers as a rookie in 2014). There's still reason for optimism here, as Goff is only 22 years old, but considering Los Angeles' shaky offensive line and unproven group of receivers, it may take some time for him to emerge. Goff is well off the 2017 fantasy radar."
Trevor Siemian,"Replacing future Hall of Famer Peyton Manning is no easy task, but Siemian held down the fort about as well as could be expected for a seventh-round pick entering his second season. Siemian completed only 59 percent of his passes (ninth lowest), but his 8.8 average depth of throw was 11th highest. He tossed 18 touchdowns and 10 interceptions. Siemian didn't sport much fantasy appeal (three top-10 weeks) and will need to fend off 2016 first-round pick Paxton Lynch in order to retain Denver's starting gig this season."
Deshaun Watson,"The Texans addressed their quarterback woes by trading up and selecting Watson in April's draft. Watson was the man under center for the 2016 national champion Clemson Tigers. He's only 21 years old and stands 6-foot-2, 221 pounds. Watson is an outstanding athlete and sports terrific arm strength, but accuracy is a concern. He tossed 41 touchdowns and ran for nine more last season, but he was picked off 17 times. Watson adds a ton of value with his legs and has a ton of pedigree and upside. With only Tom Savage in his way, Watson is the best bet among rookie passers to start Week 1. He's a sneaky bet for early QB2 value."
Mike Glennon,"The Bears signed Glennon to a three-year, $45 million contract and hope that he'll provide a competent bridge to Mitch Trubisky, whom they selected second overall in April's draft. Glennon was busy during his first two seasons in the league, but has played just 14 snaps (all last season) since the Bucs selected Jameis Winston in the 2015 draft. Glennon has a solid 29-to-15 TD/INT mark in his career and his poor 6.5 yards per attempt can be traced to his teammates averaging a league-low 3.5 yards after the catch in both 2013 and 2014. Even if Glennon is a capable starter, his most likely outcome is that of a game manager in a run-first, low-volume offense."
DeShone Kizer,"Kizer is mobile and has a very good arm, but he struggles with accuracy and decision-making. He was off target on a massive 14.5 percent of his throws last season, which is easily worst among all quarterbacks who attended the combine. Granted, he threw downfield more often, but his 59 percent completion rate is concerning. Kizer is the biggest (6-foot-4, 233 pounds) and youngest (turned 21 in January) among this year's incoming rookie quarterbacks, but he's a raw talent who ideally would spend most of his rookie season with the clipboard. Of course, Cleveland's uncertain quarterback situation likely means he'll make several starts in 2017. The second-round pick is unlikely to provide much fantasy value in 2017."
Eli Rogers,"Rogers went undrafted in 2015, but he generated some hype during the 2016 offseason when he won the team's starting slot receiver gig. Rogers missed three games due to injury but ended up catching 48 of 65 targets for 594 yards and three touchdowns. During the nine weeks he was on the field for at least three-quarters of the team's pass plays, Rogers averaged 5.7 targets per game. Rogers is entering his prime at age 24 and is the heavy favorite to enter 2017 as the team's slot man. Of course, with Antonio Brown, Le'Veon Bell, JuJu Smith-Schuster and Martavis Bryant in the mix, Rogers may struggle for consistent targets. For now, he's best viewed as a late-round PPR target."
Kenyan Drake,"Drake was a somewhat surprising third-round selection in the 2016 draft. The scat back out of Alabama projects as a change-of-pace and passing-down specialist at the NFL level, which makes him a good fit as a complement to Jay Ajayi in Miami. Drake was limited to 42 touches for 225 yards as a rookie but did average a healthy 5.4 YPC in that small sample. Drake figures to play an expanded role this season, but his reps will be limited by the presence of Ajayi and Damien Williams."
Adam Humphries,"Despite the Bucs adding DeSean Jackson and O.J. Howard, the 23-year-old Humphries remains a candidate for a third-year leap as the team's slot receiver. Even while Vincent Jackson was active, Humphries played a significant role and ended up on the field for 70.6 percent of the team's pass plays in 2016. He was limited to 5.6 targets per game, which allowed him 56 receptions for 648 yards and three touchdowns. He managed four top-30 fantasy weeks and finished the year 56th at the position. Humphries' upside is obviously capped by his role (his 5.6-yard average depth of target was second lowest among wide receivers), but he's a name to keep in mind late in PPR drafts."
Rams D/ST,"The Rams' D/ST finished top-12 from 2012-15, but collapsed to 23rd last season. They ranked 22nd in forced fumbles (12), 24th in sacks (31) and tied for 19th in D/ST touchdowns (one) after ranking in the upper-half of the league in all three categories the previous three seasons. On the plus side, they ranked top-eight in tackles for loss (102) for the seventh consecutive season. Connor Barwin, Nickell Robey-Coleman and Kayvon Webster were far from spectacular offseason acquisitions, but T.J. McDonald is gone to Miami. Aaron Donald is one of the game's best players, but he needs more help behind him."
